Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,LinesAdded,LinesDeleted,CommitsChanged,BugFixingCommits,CommitsBeforeVersion,DevelopersChanged,DevelopersBeforeVersion,AverageTimeBetweenChanges,AverageDeveloperExpertise,MinimumDeveloperExpertise
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsDesc.java,False,5,0,3,2,1,,,,1.0,0.0,1.0,2,2.0,1.0,2,0.0,0.0,0.0,2,,36,0,13,8.0,3,23,,7,10.0,8.0,2,1,,0,,1.0,77,709,395,28,25,3,1,1,7.618349439475076,22.497055839959348,2.390414412470803
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsRequest.java,False,8,0,7,0,2,,,,6.0,3.0,5.0,39,38.0,4.0,41,1.0,2.0,0.0,38,,438,67,346,110.0,164,28,,154,236.0,101.0,149,6,,4,,0.0,8,633,256,26,10,92,4,11,8.918389490916105,42.25661431989421,3.882553234031455
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractBucketJoinProc.java,False,38,3,32,3,7,,,,1.0,2.0,0.0,12,10.0,1.0,12,0.0,4.0,3.0,5,,515,52,395,155.0,236,69,,193,282.0,137.0,205,26,,6,,0.0,17,438,427,40,6,28,10,5,7.458894276604981,19.824755256260996,10.955785836438602
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCommandHandler.java,False,7,0,7,0,2,,,,1.0,0.0,0.0,8,8.0,6.0,8,0.0,0.0,0.0,8,,110,18,67,30.0,26,25,,31,46.0,24.0,24,5,,2,,0.0,37,775,80,19,19,67,6,10,1.2193166056240416,56.06265762563454,49.9491614711666
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCorrelationProcCtx.java,False,5,0,5,0,2,,,,1.0,0.0,1.0,8,8.0,5.0,8,0.0,0.0,0.0,8,,99,14,63,28.0,23,23,,35,49.0,29.0,22,5,,3,,0.0,37,845,170,31,3,61,5,1,7.840637120992599,3.319312031473052,1.3598347787195928
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractDeserializer.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,0.0,4,,68,8,11,10.0,0,49,,9,10.0,10.0,0,0,,0,,4.0,45,373,208,28,28,72,2,9,2.102442443467629,82.60572843813493,4.664959788758562
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractEncodingAwareSerDe.java,False,8,0,8,0,2,,,,1.0,0.0,1.0,7,7.0,1.0,7,0.0,0.0,4.0,3,,87,12,43,27.0,11,32,,23,30.0,21.0,11,2,,1,,0.0,74,286,172,43,26,62,9,6,3.9622493593716706,67.12290024700626,15.96820413739107
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractExpression.java,False,8,0,8,0,2,,,,1.0,0.0,1.0,12,12.0,2.0,12,0.0,0.0,10.0,2,,150,16,121,59.0,56,13,,82,105.0,58.0,63,3,,2,,0.0,11,27,168,27,27,65,3,8,7.329711397756176,71.06344104496485,21.120721324294244
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFileMergeOperator.java,False,18,1,14,4,3,,,,1.0,1.0,2.0,12,11.0,16.0,12,0.0,2.0,4.0,6,,293,23,204,69.0,118,66,,107,142.0,61.0,94,9,,5,,0.0,32,623,83,33,0,3,1,13,1.1550275617125094,43.90527812431331,27.96992014706182
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFilterStringColLikeStringScalar.java,False,13,1,11,1,3,,,,10.0,0.0,1.0,30,30.0,21.0,30,9.0,1.0,1.0,19,,533,65,365,115.0,202,105,,184,271.0,120.0,160,24,,5,,0.0,29,759,89,12,9,46,10,16,1.3057822323439274,70.39685526573328,43.72468406986335
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractGenericUDAFResolver.java,False,9,1,8,0,2,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,56,6,23,12.0,6,27,,6,10.0,6.0,4,2,,1,,1.0,17,15,38,38,30,42,2,12,4.051677239663077,31.965878258629534,22.937859739099867
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractGenericUDFEWAHBitmapBop.java,False,15,1,13,0,2,,,,1.0,0.0,0.0,7,7.0,3.0,7,1.0,0.0,3.0,3,,146,19,106,49.0,58,21,,59,75.0,46.0,43,4,,1,,0.0,20,986,336,44,23,32,1,7,7.153900143539996,36.314866905509625,1.4398622898917677
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractGenericUDFReflect.java,False,15,0,14,1,3,,,,1.0,0.0,0.0,5,5.0,4.0,5,3.0,0.0,1.0,1,,108,11,71,25.0,37,26,,40,54.0,27.0,29,6,,3,,0.0,37,819,44,29,18,73,8,6,8.856004806583591,82.51252373107776,75.28091340885614
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractHBaseKeyFactory.java,False,5,0,5,0,1,,,,1.0,0.0,0.0,3,3.0,3.0,3,0.0,0.0,0.0,3,,53,8,28,19.0,5,17,,17,21.0,16.0,5,1,,0,,0.0,61,88,309,17,17,84,8,12,7.783753383746126,33.106691687845505,32.788557512865076
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractHBaseKeyPredicateDecomposer.java,False,16,2,12,3,2,,,,1.0,0.0,1.0,3,3.0,0.0,3,0.0,0.0,2.0,1,,80,10,38,19.0,18,32,,25,30.0,18.0,16,3,,2,,0.0,84,7,111,1,1,40,1,18,2.0640804583915933,49.12522295829565,38.273767314272206
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractHiveAuthorizer.java,False,8,0,4,4,1,,,,1.0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,0.0,1,,41,4,7,4.0,1,30,,2,4.0,3.0,1,1,,0,,4.0,29,940,153,31,24,15,7,2,1.041736790756414,73.39629452123552,10.20434657452118
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractHiveService.java,False,6,0,4,2,1,,,,1.0,0.0,0.0,17,17.0,6.0,17,0.0,0.0,3.0,14,,159,22,78,30.0,30,59,,36,58.0,31.0,28,2,,1,,0.0,76,326,373,48,8,34,6,18,6.839365912361837,18.012103725161225,2.1008274448950397
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractIndexHandler.java,False,6,0,6,0,2,,,,1.0,1.0,0.0,3,2.0,0.0,3,0.0,0.0,0.0,3,,58,7,28,14.0,9,23,,17,23.0,14.0,10,3,,2,,0.0,82,401,279,33,19,69,7,15,9.268204170055261,75.5966118188161,28.418536970096703
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractJoinTaskDispatcher.java,False,26,1,21,4,5,,,,1.0,0.0,0.0,6,6.0,1.0,6,0.0,0.0,2.0,4,,186,14,129,51.0,68,43,,63,97.0,49.0,60,7,,5,,0.0,33,930,172,34,2,55,3,10,3.292287981861656,56.902833317629316,50.363583643683725
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapJoinOperator.java,False,9,1,8,0,1,,,,1.0,0.0,1.0,7,7.0,5.0,7,0.0,0.0,3.0,4,,120,20,75,40.0,33,26,,42,54.0,33.0,25,3,,1,,0.0,35,192,290,28,1,10,8,17,5.002072282509336,57.10495185083055,38.651998227087454
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapJoinTableContainer.java,False,4,0,4,0,1,,,,1.0,1.0,2.0,4,3.0,1.0,4,0.0,0.0,3.0,1,,51,8,25,14.0,9,18,,14,19.0,13.0,7,1,,0,,0.0,72,825,105,30,17,45,2,6,4.592605831823213,34.19091314481249,3.755389027279077
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapOperator.java,False,7,0,6,1,2,,,,2.0,0.0,1.0,14,16.0,7.0,16,0.0,1.0,2.0,13,,178,30,99,50.0,42,49,,54,74.0,44.0,38,6,,2,,0.0,49,527,330,27,19,10,8,17,1.7676569265839015,33.43428325693503,18.23741059047724
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOperatorDesc.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,12,12.0,5.0,12,0.0,0.0,0.0,12,,92,18,57,32.0,14,17,,21,34.0,22.0,12,1,,0,,0.0,30,880,34,50,15,21,5,2,1.5770946689207637,51.16304559933103,29.899829287470126
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOutputFormat.java,False,12,1,11,0,2,,,,1.0,0.0,0.0,4,4.0,0.0,4,3.0,0.0,0.0,1,,50,8,17,8.0,8,25,,11,14.0,8.0,7,2,,1,,1.0,47,786,11,25,7,93,1,8,8.929149645871004,43.194285876597185,3.0972590876504795
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractParquetMapInspector.java,False,10,1,9,0,3,,,,1.0,0.0,0.0,13,13.0,2.0,13,0.0,0.0,0.0,13,,173,26,134,48.0,68,13,,57,90.0,37.0,58,10,,2,,0.0,10,304,339,33,13,74,7,6,1.465118910107806,69.09867085727765,52.28759122473303
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveJavaObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,5,5.0,0.0,5,0.0,0.0,2.0,3,,49,6,23,12.0,5,20,,7,13.0,8.0,5,1,,0,,0.0,87,893,173,0,0,50,10,18,3.056248893032616,10.753756504441927,3.5752605818712317
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveLazyObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,2.0,2,,48,6,22,13.0,4,20,,9,14.0,10.0,4,2,,0,,0.0,91,515,33,29,20,80,10,6,4.23525075785501,59.08952447712822,22.31351291328521
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveObjectInspector.java,False,7,0,4,3,1,,,,1.0,0.0,0.0,10,10.0,1.0,10,0.0,0.0,2.0,8,,107,13,46,25.0,10,48,,15,26.0,16.0,10,1,,0,,1.0,4,56,409,1,0,5,2,4,2.453902260499547,61.97127810450741,59.52297373720028
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveWritableObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,2.0,2,,46,6,20,11.0,4,20,,6,11.0,7.0,4,1,,0,,1.0,0,502,156,15,5,90,3,4,2.2642324294384695,14.621017331130087,8.03229872754053
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRecordWriter.java,False,13,0,12,1,3,,,,1.0,1.0,1.0,18,17.0,12.0,18,1.0,5.0,6.0,6,,273,31,200,82.0,101,43,,110,142.0,77.0,77,8,,2,,0.0,21,735,81,31,23,70,7,7,5.030739967845664,68.49016039361274,40.621384455950675
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRowContainer.java,False,0,0,0,0,0,,,,2.0,0.0,0.0,8,8.0,0.0,8,0.0,0.0,0.0,8,,59,10,14,12.0,0,35,,10,12.0,12.0,0,0,,0,,2.0,50,325,290,4,2,25,5,11,5.240785682417952,60.84399794733204,15.774270130776724
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSMBJoinProc.java,False,41,4,27,10,4,,,,1.0,0.0,0.0,12,12.0,0.0,12,0.0,2.0,7.0,3,,537,61,335,134.0,201,141,,175,227.0,109.0,163,12,,3,,0.0,42,522,390,2,2,30,1,9,7.181935169885912,65.39779705926499,16.68577421309314
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHCommand.java,False,3,0,3,0,1,,,,1.0,0.0,0.0,11,11.0,7.0,11,0.0,0.0,0.0,11,,70,4,48,22.0,15,18,,23,35.0,21.0,14,1,,0,,0.0,38,352,205,12,1,55,7,12,1.172431626136437,34.11785243938675,14.864626210612919
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHResult.java,False,5,0,5,0,1,,,,1.0,0.0,0.0,7,7.0,6.0,7,0.0,0.0,0.0,7,,62,2,42,22.0,12,18,,19,27.0,15.0,12,1,,0,,0.0,43,4,466,42,21,68,2,14,4.913144041296844,78.42795118420635,47.1006042921548
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSemanticAnalyzerHook.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,37,6,14,10.0,1,17,,5,8.0,7.0,1,1,,0,,1.0,21,7,107,23,16,35,6,10,9.60088508962376,37.33809774180569,37.10019029859023
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerDe.java,False,11,0,4,8,1,,,,1.0,0.0,0.0,9,9.0,1.0,9,0.0,0.0,0.0,9,,127,15,30,22.0,4,83,,17,21.0,18.0,3,2,,0,,2.0,77,374,33,35,18,10,4,2,8.013635632911999,46.398439544395295,2.0221323465626613
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerializer.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,0.0,4,,65,8,12,11.0,0,45,,9,10.0,10.0,0,0,,0,,3.0,75,570,90,28,18,65,8,12,3.6414912756472795,87.08795302386254,82.49240040324551
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractService.java,False,9,0,5,4,1,,,,1.0,0.0,1.0,12,12.0,5.0,12,0.0,2.0,0.0,10,,184,22,76,35.0,29,86,,34,50.0,26.0,26,2,,1,,1.0,13,284,190,26,11,7,6,16,1.2939515785497613,96.97350597771731,41.27715230280075
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractStorageFormatDescriptor.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,0.0,1,,28,4,7,4.0,1,17,,2,4.0,3.0,1,1,,0,,2.0,43,668,321,10,0,39,5,11,8.546181302407675,85.9565024705683,32.04385333115336
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestAuthorizationApiAuthorizer.java,False,9,0,8,1,1,,,,11.0,1.0,3.0,21,20.0,0.0,21,0.0,1.0,1.0,19,,211,23,153,63.0,76,36,,69,95.0,54.0,52,4,,2,,0.0,24,670,419,24,14,78,3,11,5.664036583895315,37.85690128874114,21.798563917445602
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestGenericUDFOPNumeric.java,False,12,1,9,2,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,1.0,1,,56,6,30,22.0,11,20,,19,22.0,19.0,8,1,,0,,0.0,67,585,455,5,0,98,5,8,7.899700545113544,19.06593407492688,17.072266851646454
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestParquetDirect.java,False,7,0,6,0,1,,,,3.0,7.0,2.0,14,7.0,5.0,14,0.0,1.0,0.0,13,,173,27,128,75.0,50,19,,76,95.0,65.0,42,3,,2,,0.0,15,416,97,28,5,60,8,2,9.12698976674097,29.29886699922086,7.520059059737618
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestPhase.java,False,10,0,9,0,1,,,,1.0,3.0,12.0,6,3.0,17.0,6,2.0,1.0,2.0,1,,139,12,108,60.0,55,19,,81,89.0,59.0,33,2,,1,,0.0,18,809,434,43,19,64,6,9,3.8831895871187023,75.18532867281903,9.054484231874316
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractVectorDesc.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,0.0,1,,27,3,7,4.0,1,17,,2,4.0,3.0,1,1,,0,,2.0,43,386,83,29,27,17,5,1,9.995894783292844,11.311306633318134,7.50149221925475
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloCompositeRowId.java,False,13,3,7,3,1,,,,1.0,0.0,0.0,3,3.0,0.0,3,0.0,0.0,0.0,3,,95,15,32,20.0,12,48,,23,28.0,20.0,13,2,,1,,1.0,50,730,102,40,10,70,1,16,3.162635012920526,18.422075180750408,11.491644639923235
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloConnectionParameters.java,False,9,1,7,2,2,,,,1.0,0.0,9.0,17,17.0,2.0,17,3.0,0.0,0.0,14,,230,39,142,56.0,78,49,,75,105.0,56.0,61,4,,2,,0.0,35,836,99,45,6,67,3,8,1.8506124123455383,33.48742573555995,7.583331329409002
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloHiveConstants.java,False,0,0,0,0,0,,,,1.0,0.0,11.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,42,7,14,13.0,10,21,,9,10.0,10.0,5,0,,0,,1.0,50,453,316,30,29,20,9,16,5.0371973404062755,21.18276686684597,13.117684490324422
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloHiveRow.java,False,8,0,8,0,2,,,,2.0,0.0,0.0,21,21.0,5.0,21,0.0,0.0,0.0,21,,247,36,185,63.0,97,26,,93,143.0,62.0,93,10,,3,,0.0,14,89,92,15,2,61,6,9,1.0243950857880106,76.54678461671824,75.80925444735489
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloPredicateHandler.java,False,19,2,13,5,3,,,,1.0,1.0,6.0,16,15.0,0.0,16,0.0,2.0,1.0,13,,426,50,277,128.0,161,99,,168,213.0,118.0,132,7,,2,,0.0,36,913,316,30,5,80,7,19,4.330171527908268,97.94137123757925,22.848200953917406
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloQTestUtil.java,False,6,1,5,1,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,38,4,13,7.0,3,21,,5,8.0,5.0,3,1,,0,,1.0,62,662,465,25,9,10,1,18,2.916983638248458,95.77051266452345,48.31086227539975
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloRangeGenerator.java,False,29,3,22,6,6,,,,1.0,0.0,1.0,9,9.0,3.0,9,0.0,0.0,7.0,2,,338,36,237,75.0,140,75,,119,179.0,75.0,113,14,,6,,0.0,32,475,181,21,20,80,7,7,8.548952984962167,36.05246123436118,27.90791665602147
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloRowIdFactory.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,5,5.0,0.0,5,0.0,0.0,0.0,5,,67,8,19,18.0,0,40,,15,16.0,16.0,0,0,,0,,2.0,11,674,467,39,20,18,4,19,1.122506267892634,58.5102285355567,18.47060141638584
